signature	EntrezGene.ID	coefficient
GENE70	8659	-1
GENE70	8817	-1
GENE70	27113	-1
GENE70	57758	-1
GENE70	146923	-1
GENE70	8840	-1
GENE70	2947	-1
GENE70	151126	-1
GENE70	146760	-1
GENE70	10455	-1
GENE70	7043	-1
GENE70	55351	-1
GENE70	10455	-1
GENE70	58475	-1
GENE70	163	-1
GENE70	79132	-1
GENE70	55321	1
GENE70	9134	1
GENE70	1058	1
GENE70	9055	1
GENE70	10874	1
GENE70	3488	1
GENE70	10531	1
GENE70	57110	1
GENE70	3488	1
GENE70	91283	1
GENE70	4175	1
GENE70	83879	1
GENE70	5984	1
GENE70	23594	1
GENE70	6515	1
GENE70	57211	1
GENE70	1633	1
GENE70	51514	1
GENE70	1284	1
GENE70	9833	1
GENE70	92140	1
GENE70	51377	1
GENE70	51560	1
GENE70	160897	1
GENE70	79888	1
GENE70	8476	1
GENE70	10403	1
GENE70	8833	1
GENE70	1894	1
GENE70	4318	1
GENE70	5019	1
GENE70	2781	1
GENE70	2131	1
GENE70	56942	1
GENE70	81624	1
GENE70	81624	1
GENE70	169714	1
GENE70	51203	1
GENE70	81624	1
GENE70	85453	1
GGI	3838	1
GGI	8140	1
GGI	4141	1
GGI	7334	1
GGI	10212	1
GGI	4605	1
GGI	332	1
GGI	332	1
GGI	4171	1
GGI	5347	1
GGI	2305	1
GGI	9133	1
GGI	27338	1
GGI	991	1
GGI	11065	1
GGI	10535	1
GGI	8914	1
GGI	10615	1
GGI	983	1
GGI	4001	1
GGI	4085	1
GGI	890	1
GGI	9232	1
GGI	3149	1
GGI	701	1
GGI	9787	1
GGI	11130	1
GGI	9319	1
GGI	6790	1
GGI	10403	1
GGI	1017	1
GGI	51512	1
GGI	3832	1
GGI	9156	1
GGI	10024	1
GGI	993	1
GGI	4521	1
GGI	2237	1
GGI	2237	1
GGI	9700	1
GGI	7272	1
GGI	9833	1
GGI	1058	1
GGI	9134	1
GGI	1062	1
GGI	641	1
GGI	9928	1
GGI	3161	1
GGI	1063	1
GGI	6790	1
GGI	22948	1
GGI	84790	1
GGI	11004	1
GGI	9212	1
GGI	699	1
GGI	3833	1
GGI	1033	1
GGI	6241	1
GGI	22974	1
GGI	332	1
GGI	983	1
GGI	1058	1
GGI	10376	1
GGI	11004	1
GGI	3838	1
GGI	4288	1
GGI	4288	1
GGI	4288	1
GGI	4173	1
GGI	23397	1
GGI	11339	1
GGI	4141	1
GGI	3015	1
GGI	6472	1
GGI	8833	1
GGI	891	1
GGI	55969	1
GGI	9055	1
GGI	51203	1
GGI	24137	1
GGI	56942	1
GGI	55165	1
GGI	29095	1
GGI	64151	1
GGI	55355	1
GGI	10112	1
GGI	79682	1
GGI	79075	1
GGI	56992	1
GGI	10721	1
GGI	55839	1
GGI	259266	1
GGI	55010	1
GGI	55388	1
GGI	83461	1
GGI	55143	1
GGI	54478	1
GGI	29980	1
GGI	4173	1
GGI	29127	1
GGI	9700	1
GGI	10129	-1
GGI	8100	-1
GGI	1524	-1
GGI	90627	-1
GGI	3913	-1
GGI	7178	-1
GGI	79901	-1
GGI	27244	-1
GGI	582	-1
GGI	56912	-1
GGI	55650	-1
GGI	79846	-1
